City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,80.64,61,99.0,4.29,US,1659307924.0
Mahébourg,-20.4081,57.7,70.25,73,75.0,11.5,MU,1659307976.0
Bluff,-46.6,168.3333,46.8,76,51.0,15.17,NZ,1659307917.0
Provideniya,64.3833,-173.3,48.36,81,0.0,4.47,RU,1659307937.0
Lebu,-37.6167,-73.65,47.01,83,95.0,5.3,CL,1659307977.0
Atar,20.5169,-13.0499,92.21,41,2.0,12.03,MR,1659308014.0
Rikitea,-23.1203,-134.9692,72.18,74,100.0,22.57,PF,1659307908.0
Ancud,-41.8697,-73.8203,43.23,82,100.0,0.98,CL,1659308012.0
Vaini,-21.2,-175.2,78.96,94,40.0,6.91,TO,1659307915.0
Kapaa,22.0752,-159.319,84.52,67,0.0,14.97,US,1659307937.0
Longyearbyen,78.2186,15.6401,49.84,76,0.0,12.66,SJ,1659308190.0
Panguna,-6.3164,155.4848,78.19,69,26.0,3.15,PG,1659308190.0
Kudahuvadhoo,2.6708,72.8944,80.82,74,100.0,24.65,MV,1659308190.0
Vanimo,-2.6741,141.3028,79.72,86,99.0,6.35,PG,1659308191.0
Ushuaia,-54.8,-68.3,38.86,87,40.0,8.05,AR,1659308191.0
Nikolskoye,59.7035,30.7861,57.09,82,100.0,3.6,RU,1659308192.0
Klaksvík,62.2266,-6.589,50.4,85,28.0,12.57,FO,1659308121.0
Bredasdorp,-34.5322,20.0403,42.51,83,3.0,3.65,ZA,1659307786.0
Lompoc,34.6391,-120.4579,76.51,69,40.0,10.36,US,1659308192.0
Chicama,-7.8447,-79.1469,61.34,76,26.0,7.94,PE,1659308193.0
Butaritari,3.0707,172.7902,81.34,78,58.0,13.89,KI,1659307643.0
Muli,2.9167,73.5667,80.29,77,100.0,27.65,MV,1659308193.0
Busselton,-33.65,115.3333,57.24,91,88.0,29.62,AU,1659307768.0
Sebring,27.4956,-81.4409,91.89,58,0.0,11.5,US,1659308194.0
Christchurch,-43.5333,172.6333,50.41,66,0.0,4.61,NZ,1659308041.0
‘Āhuimanu,21.4447,-157.8378,83.91,56,0.0,14.97,US,1659308002.0
Rokiškis,55.9667,25.5833,59.68,98,100.0,11.9,LT,1659308194.0
Punta Arenas,-53.15,-70.9167,42.91,75,75.0,13.8,CL,1659307872.0
Qaanaaq,77.484,-69.3632,46.33,60,66.0,1.41,GL,1659307931.0
Tsabong,-26.0217,22.401,55.42,28,62.0,8.68,BW,1659308195.0
Yellowknife,62.456,-114.3525,64.92,45,40.0,4.61,CA,1659307956.0
Carnarvon,-24.8667,113.6333,69.6,57,100.0,10.25,AU,1659307934.0
Torbat-e Jām,35.244,60.6225,76.08,30,0.0,11.21,IR,1659308195.0
Hobart,-42.8794,147.3294,50.25,72,75.0,13.8,AU,1659307734.0
Boden,65.8252,21.6886,59.0,94,93.0,3.4,SE,1659308196.0
Palu,-0.8917,119.8707,76.26,96,100.0,1.19,ID,1659308196.0
Tezu,27.9167,96.1667,74.93,97,100.0,1.99,IN,1659308197.0
Alice Springs,-23.7,133.8833,42.35,65,2.0,0.0,AU,1659308037.0
Hengyang,26.8881,112.615,82.11,66,9.0,2.1,CN,1659308064.0
Upernavik,72.7868,-56.1549,50.41,66,96.0,1.12,GL,1659307648.0
Pisco,-13.7,-76.2167,62.65,77,20.0,8.05,PE,1659307922.0
Borovskoy,53.8,64.15,59.2,92,25.0,5.55,KZ,1659308198.0
Usvyaty,55.7456,30.7533,59.61,81,100.0,4.5,RU,1659308198.0
Pevek,69.7008,170.3133,48.78,64,0.0,12.59,RU,1659308038.0
Puerto Ayora,-0.7393,-90.3518,75.16,87,85.0,5.99,EC,1659307914.0
Nanortalik,60.1432,-45.2371,47.23,91,70.0,7.31,GL,1659307908.0
Brewster,41.3973,-73.6171,82.65,60,84.0,6.22,US,1659308199.0
